id;Pedido;Cliente;DATA_PEDIDO;DTA_CRIA_OM;DTA_LIBERACAO_CREDITO;DATA_EST_PICK;STATUS;DATA_GERACAO_NF;DAT_MINUTA;Editora;sku;volume;peso;valor;NF
SCI1355569;1355569;RIBEIRO REIS LTDA;;;;23/11/2016;FINALIZADO;24/11/2016;25/11/2016;SCIPIONE;2;2;0,873;8,24;98661
SCI1359348;1359348;SARAIVA E SICILIANO S/A;;;28/11/2016;29/11/2016;FINALIZADO;30/11/2016;30/11/2016;SCIPIONE;3;11;1,935;279,9;98823
SCI1368643;1368643;LE PETIT BOOK LIVRARIA E CAFETERIA LTDA - EPP;;;07/12/2016;11/12/2016;FINALIZADO;12/12/2016;14/12/2016;SCIPIONE;1;1;0,1;23,73;99131
SCI1359724;1359724;SUELY MARIA GOMES POLI 07910732899;;;09/12/2016;13/12/2016;FINALIZADO;13/12/2016;14/12/2016;SCIPIONE;1;40;6,6;720;99258
SCI1369579;1369579;GIOVANE LEAL NOVAES DE CARVALHO LIMA - ME;;;;14/12/2016;FINALIZADO;16/12/2016;19/12/2016;SCIPIONE;14;14;1,845;134,56;99430
SCI1375047;1375047;COLEGIO PARAISO BAURU EDUCACAO INFANTIL E ENSINO F;;;14/12/2016;16/12/2016;FINALIZADO;19/12/2016;20/12/2016;SCIPIONE;16;301;42,775;7378,74;99502
SCI1375658;1375658;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;14/12/2016;19/12/2016;FINALIZADO;20/12/2016;21/12/2016;SCIPIONE;31;1174;785,165;67953,49;99542
SCI1377068;1377068;BOOKPARTNERS BRASIL EDITORA E DISTRIBUIDORA DE LIV;;;;19/12/2016;FINALIZADO;23/12/2016;23/12/2016;SCIPIONE;23;33;12,865;1858,01;99626
SCI1377483;1377483;ABC DISTRIBUIDORA DE LIVROS LTDA - ME;;;19/12/2016;22/12/2016;FINALIZADO;26/12/2016;27/12/2016;SCIPIONE;17;575;69,235;10642,45;99718
SCI1346553;1346553;DISTRIBUIDORA VALENTE-ARTIGOS PARA ESCRITRIO LTDA ;;;03/11/2016;03/11/2016;FINALIZADO;07/11/2016;07/11/2016;SCIPIONE;1;1;0,155;29,05;98261
SCI1347958;1347958;PATRICIA SANCHES;;;;11/11/2016;FINALIZADO;12/11/2016;17/11/2016;SCIPIONE;1;20;21,4;25;98406
SCI1354223;1354223;VILMAR A BONIN & CIA LTDA - ME;;;;16/11/2016;FINALIZADO;16/11/2016;17/11/2016;SCIPIONE;1;1;0,125;28,48;98438
